unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
10038175||lidl|||||||2025-10-27|gabby’s dollhouse mercat squishi||||||baby, child & toys|toys||||||6.99||||||||||||each||||baby, child & toys > toys|https://www.lidl.co.uk/p/gabby-s-dollhouse-mercat-squishi/p10038175||soft and cuddly squishi toy age recommendation: 1 year+ height: 20cm 2-year warranty|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/nszep1fpwazw5or1sudy7yhe9l9ebaz0e2smktzn4b4/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms81oevdnjlcqtldque5ndhenta3qzjerji/zrjc4ntu0ndnenejgruy5qtqwnza0rjfgruzgmtewodbfrdkyqkqxlmpwzw.jpg|||||||||||||||||||||||||||||True||10038175P|||||||||
10038176||lidl|||||||2025-10-27|polly pocket gabby’s dollhouse||||||baby, child & toys|toys||||||12.99||||||||||||per set||||baby, child & toys > toys|https://www.lidl.co.uk/p/polly-pocket-gabby-s-dollhouse/p10038176||cute compact in the shape of gabby&rsquo;s dollhouse, with different zones including a party room with gabby and three kitty figures, plus lots of fun accessories age recommendation: 4 years+ 2-year warranty|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/gafxxhihfjwzo5ym53fmukog5tknebotpbkuifnx9d4/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms8ynjq3qjvfnzezqtk5mde0qky3nefbqje/0mja5nde2qjg5rkjfqzndnjbemdzenkjgnkm4odnbntyzmejfndfflmpwzw.jpg|||||||||||||||||||||||||||||True||10038176P|||||||||
10038177||lidl|||||||2025-10-27|crelando dinosaurs modelling clay - 6 pieces||||||baby, child & toys|toys||||||3.99||||||||||||per pack||||baby, child & toys > toys|https://www.lidl.co.uk/p/crelando-dinosaurs-modelling-clay-6-pieces/p10038177||encourages imagination, creativity and motor skills through play easy to mould &ndash; ideal for small hands dries in the open air includes instructions and accessories for 3 figures 6x 15g pots of modelling clay in red, orange, green, turquoise, blue, black / white|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/j5oj0xp5w97qllrxmffftjq3005fjogev3cbw_wmq5c/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms8yrjazqte4rue4qjjeodrgmzzenei2ndm/3mjgwm0ixoee0ntvcrdbdnjleothenkrgmzy5nzuwnke3ntc5oty1lmpwzw.jpg|||||||||||||||||||||||||||||True||10038177P|||||||||
10038178||lidl|||||||2025-10-27|crelando mythical creatures modelling clay - 6 pieces||||||baby, child & toys|school & creative||||||3.99||||||||||||per pack||||baby, child & toys > school & creative|https://www.lidl.co.uk/p/crelando-mythical-creatures-modelling-clay-6-pieces/p10038178||encourages imagination, creativity and motor skills through play easy to mould &ndash; ideal for small hands dries in the open air includes instructions and accessories for 3 figures 6x 15g pots of modelling clay in pink, turquoise, 2x white, green / orange, black / purple|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/olro3a91hbv4tnf-00qlo4nndai6drsomxsbzxlozdw/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms81ndcxotmzneu1nzu1odcxrundnkm0mju/4num2req2njawodkym0y2mzbgqzgzmjbcnzy1ndk4rtrdoem5q0ezlmpwzw.jpg|||||||||||||||||||||||||||||True||10038178P|||||||||
10038179||lidl|||||||2025-10-27|crelando animals modelling clay - 6 pieces||||||baby, child & toys|toys||||||3.99||||||||||||per pack||||baby, child & toys > toys|https://www.lidl.co.uk/p/crelando-animals-modelling-clay-6-pieces/p10038179||encourages imagination, creativity and motor skills through play easy to mould &ndash; ideal for small hands dries in the open air includes instructions and accessories for 3 figures 6x 15g pots of modelling clay in purple, yellow, green, green / red, turquoise / blue, black / white|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/5-exupsxseaaypqsoxt2mz4bsss8fk6ejvvkc-oo02i/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9eouyzmjncnzdfnzy2rkzgmdcwrdaxmjh/dmkveqtrfrtjbmtmwoufbruu5odk4nte2rdrgntu1qjzfouzemtczlmpwzw.jpg|||||||||||||||||||||||||||||True||10038179P|||||||||
10038180||lidl|||||||2025-10-27|crelando monsters modelling clay - 6 pieces||||||baby, child & toys|toys||||||3.99||||||||||||per pack||||baby, child & toys > toys|https://www.lidl.co.uk/p/crelando-monsters-modelling-clay-6-pieces/p10038180||encourages imagination, creativity and motor skills through play easy to mould &ndash; ideal for small hands dries in the open air includes instructions and accessories for 3 figures 6x 15g pots of modelling clay, each in yellow, green, purple, pink, orange, black/white|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/szcqvdx5nwtju9vxrne1jjb_epea_atmctrlyyipuu4/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9gq0fcmemwotm4n0vfmtvcrdy4oue0nty/0quq1ruq4njm0mda3qzkyrdi2ndvenze0nui3mujbqkqxmujbnzjelmpwzw.jpg|||||||||||||||||||||||||||||True||10038180P|||||||||
10038183||lidl|||||||2025-10-27|minecraft axolotl 600ml character water bottle||||||baby, child & toys|toys||||||3.49||||||||||||each||||baby, child & toys > toys|https://www.lidl.co.uk/p/minecraft-axolotl-600ml-character-water-bottle/p10038183||sip bottle with secure closure and removable straw for easy washing dishwasher safe|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/afcadzs3xa6tzkmghmaozeb9_ie9ryfoyijzo-w9ymk/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9drke4mza4qki5qtmyqky3rtk4ndfgntd/cmuzfnuu1mkq5qzfdrkmzndazquy3mum2mufcnkm3m0zdmjg0mey5lmpwzw.jpg|||||||||||||||||||||||||||||True||10038183P|||||||||
10038184||lidl|||||||2025-10-27|batman 600ml character water bottle||||||baby, child & toys|toys||||||3.49||||||||||||each||||baby, child & toys > toys|https://www.lidl.co.uk/p/batman-600ml-character-water-bottle/p10038184||sip bottle with secure closure and removable straw for easy washing dishwasher safe|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/zh0iqn8molf3kyonfxmi2u79wpozxkmt8tzj5h58zs8/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms8ynzbemufbrkyznuq5qzy0rtzfnundmtg/ynumzmthgrky4qza2nkzgqku2rku4rju1q0vfm0vgmja0qkngmeuxlmpwzw.jpg|||||||||||||||||||||||||||||True||10038184P|||||||||
10038186||lidl|||||||2025-10-27|minecraft creeper 600ml character water bottle||||||baby, child & toys|toys||||||3.49||||||||||||each||||baby, child & toys > toys|https://www.lidl.co.uk/p/minecraft-creeper-600ml-character-water-bottle/p10038186||sip bottle with secure closure and removable straw for easy washing dishwasher safe|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/zlqqgwdeut53qicrs0wbvitfvzregp1hi44emgcze6y/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms83mtleneuyotqyodgyn0fgmtu3rddfotu/5mjk1rjgzmdvdqjgyoejfmdy1mtgxnjm1n0jdouzequfbnerboujflmpwzw.jpg|||||||||||||||||||||||||||||True||10038186P|||||||||
10038188||lidl|||||||2025-10-27|peppa pig 600ml character water bottle||||||baby, child & toys|baby & children's equipment||||||3.49||||||||||||each||||baby, child & toys > baby & children's equipment|https://www.lidl.co.uk/p/peppa-pig-600ml-character-water-bottle/p10038188||sip bottle with secure closure and removable straw for easy washing dishwasher safe|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/y844uovij4ygehjand_pbkh-4iryb3_kbfkupz9z4uc/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms9drjlcoujfq0i3rkfcmuywnjq5oue5rth/foum5ruyzmzq0qzq3rtlcndi1ndfgoeq2mtzgnum5qjqzqkq5oty2lmpwzw.jpg|||||||||||||||||||||||||||||True||10038188P|||||||||
10038191||lidl|||||||2025-10-27|superman 600ml character water bottle||||||baby, child & toys|toys||||||3.49||||||||||||each||||baby, child & toys > toys|https://www.lidl.co.uk/p/superman-600ml-character-water-bottle/p10038191||sip bottle with secure closure and removable straw for easy washing dishwasher safe|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/oas9r9z30ih62aumib3twp926ehowel7np030eiyj7c/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms84odhbrjy0rjg0qjm0muu1qjhgrefcmku/5mjgxrtferendrem3rjzgmuzgnzg5qjhbruq0njy5mzbeqku0mundlmpwzw.jpg|||||||||||||||||||||||||||||True||10038191P|||||||||
10038192||lidl|||||||2025-10-27|the night before christmas 1000 piece puzzle||||||baby, child & toys|toys||||||4.99||||||||||||per pack||||baby, child & toys > toys|https://www.lidl.co.uk/p/the-night-before-christmas-1000-piece-puzzle/p10038192||challenge yourself with a 1000 piece puzzle featuring charming festive scenes puzzle size: 69 x 54.6cm 2-year warranty|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/aqvpxkgcv0lfpvbdllh-ei9r3wpxsk17hgq-bzpsgoy/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms82qziwnuy4qungqkuyrkewqzzdmdnerje/znzg2mjjbmkjcrki2qjzeqjgymunfrku3odk1otc5nkywmdrfrtvblmpwzw.jpg|||||||||||||||||||||||||||||True||10038192P|||||||||
10038193||lidl|||||||2025-10-27|santa’s christmas delivery 1000 piece puzzle||||||baby, child & toys|toys||||||4.99||||||||||||per pack||||baby, child & toys > toys|https://www.lidl.co.uk/p/santa-s-christmas-delivery-1000-piece-puzzle/p10038193||challenge yourself with a 1000 piece puzzle featuring charming festive scenes puzzle size: 69 x 54.6cm 2-year warranty|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/g2dsyalthi25it1juwlcceonbhhn9uy5224m-tuptd8/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms84nze1muu1oercode4ntayoeiwnjuyrey/0mee2nza1ndqxoda0njneoem0ntq4mdazndq4qkq5njuwmjhbrdi5lmpwzw.jpg|||||||||||||||||||||||||||||True||10038193P|||||||||
10038194||lidl|||||||2025-10-27|winter wonderland 1000 piece puzzle||||||baby, child & toys|toys||||||4.99||||||||||||per pack||||baby, child & toys > toys|https://www.lidl.co.uk/p/winter-wonderland-1000-piece-puzzle/p10038194||challenge yourself with a 1000 piece puzzle featuring charming festive scenes puzzle size: 69 x 54.6cm 2-year warranty|||||||||||||||||||||||||||||||||||||||||||https://imgproxy-retcat.assets.schwarz/ukj9dbf6wmhsepu47o3ts0rx-cvuoufhmzyztvw40wi/sm:1/w:427/h:320/cz/m6ly9wcm9klwnhd/gfsb2ctbwvkawevdwsvms81nue3qzkwn0fcqjeznkmwmkjdquzbn0z/fqzc0mdqznkjdmkm3qtq1njjbnezcqjy2qzc4nki4oezgodc2mti4lmpwzw.jpg|||||||||||||||||||||||||||||True||10038194P|||||||||
