web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,category-link-1,category-link-1-href,category-link-2,category-link-2-href,category-link-3,category-link-3-href,category-link-4,category-link-4-href,category-link-5,category-link-5-href,category-link-6,category-link-6-href,pagination-selector,name,data,data2,discount,data3,data4,description,image-src,description2
"1755862518-57","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","SL 72 RS Shoes","","","","","Price","11 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5dc78e71285f4154a977fab57d0267fe_9366/sl-72-rs-shoes.jpg","Men originals"
"1755862518-58","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4f8937ad7ea843cf98a83415e1124613_9366/superstar-ii-shoes.jpg","originals"
"1755862518-59","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ae9587cb634b4113b94a264aa874e125_9366/superstar-ii-shoes.jpg","originals"
"1755862518-60","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fe968b7f7b6e418b8c5788a1b13e2f20_9366/superstar-ii-shoes.jpg","originals"
"1755862518-61","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","SL 72 RS Shoes","","","","","Price","11 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f22bf89b7a584af59063317889150e51_9366/sl-72-rs-shoes.jpg","Men originals"
"1755862518-62","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f8d12ea9046845de80374ce8cee3a32a_9366/superstar-ii-shoes.jpg","originals"
"1755862518-63","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/200520e11c5744d6a3d0de89f5b76110_9366/superstar-ii-shoes.jpg","originals"
"1755862518-64","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","SL 72 RS Shoes","","","","","Price","11 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d06d3cd758f3477a917727165d7b3387_9366/sl-72-rs-shoes.jpg","Men originals"
"1755862518-65","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9b983d5bc09a4d4aba39a8bf011869ba_9366/samba-og-shoes.jpg","originals"
"1755862518-66","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ee99b4b9bde74f30a933a8bf011911ae_9366/samba-og-shoes.jpg","originals"
"1755862518-67","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Gazelle Shoes","","","","","Price","6 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4c9364eb1521438a8b8ba627009a6a1f_9366/gazelle-shoes.jpg","originals"
"1755862518-68","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Handball Spezial Shoes","","","","","Price","14 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a461ae9dddf04457bfbca9760113ff7a_9366/handball-spezial-shoes.jpg","Men originals"
"1755862518-69","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Gazelle Shoes","","","","","Price","6 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/1456cf05b2f54703bfc3a81700a2dcaa_9366/gazelle-shoes.jpg","Men originals"
"1755862518-70","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Handball Spezial Shoes","","","","","Price","14 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6181237298a44c5fb07da96d0111461c_9366/handball-spezial-shoes.jpg","Men originals"
"1755862518-71","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0add1b43e09941bda16e899226fb023e_9366/samba-og-shoes.jpg","Men originals"
